Package,LibPath,Version,Priority,Built
R.methodsS3,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.7.1,NA,3.4.0
RMySQL,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.10.13,NA,3.4.1
rngtools,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2.4,NA,3.4.0
robustbase,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.92-7,NA,3.4.0
R.oo,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.21.0,NA,3.4.0
Rook,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1-1,NA,3.4.0
rpivotTable,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.0,NA,3.4.0
rprojroot,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2,NA,3.4.0
RSpectra,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.12-0,NA,3.4.0
RSQLite,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.0,NA,3.4.2
rstan,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.16.2,NA,3.4.1
rstudioapi,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7,NA,3.4.3
Rttf2pt1,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.3.4,NA,3.4.0
R.utils,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.6.0,NA,3.4.3
rvcheck,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.0.9,NA,3.4.3
rvest,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3.2,NA,3.4.0
rvg,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.4,NA,3.4.1
sandwich,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.4-0,NA,3.4.1
scales,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.1,NA,3.4.0
selectr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3-1,NA,3.4.0
shiny,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.4,NA,3.4.1
shinyAce,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.1,NA,3.4.0
shinyBS,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.61,NA,3.4.1
shinydashboard,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.6.1,NA,3.4.1
shinyjs,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.9.1,NA,3.4.1
showtext,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.5-1,NA,3.4.3
showtextdb,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.0,NA,3.4.3
slam,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1-40,NA,3.4.0
SnowballC,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.5.1,NA,3.4.0
sp,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2-5,NA,3.4.1
SparseM,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.77,NA,3.4.0
sqldf,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4-11,NA,3.4.2
StanHeaders,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.16.0-1,NA,3.4.1
stringdist,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.9.4.6,NA,3.4.1
styler,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.0,NA,3.4.3
sysfonts,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7.2,NA,3.4.3
tabulizer,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.24,NA,3.4.1
tabulizerjars,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.9.2,NA,3.4.1
tensorflow,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.5,NA,3.4.3
tfruns,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2,NA,3.4.3
tibble,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.3.4,NA,3.4.1
tidyr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7.0,NA,3.4.1
tidyselect,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.1,NA,3.4.1
tidytext,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.3,NA,3.4.1
tidyverse,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.1,NA,3.4.0
tm,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.7-1,NA,3.4.0
tokenizers,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.4,NA,3.4.0
TTR,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.23-2,NA,3.4.1
usethis,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2.0,NA,3.4.3
uuid,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1-2,NA,3.4.0
viridis,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.0,NA,3.4.0
viridisLite,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.0,NA,3.4.0
visNetwork,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.0.1,NA,3.4.1
whisker,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3-2,NA,3.4.0
withr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.1.1,NA,3.4.3
wordcloud,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.5,NA,3.4.0
XLConnect,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2-13,NA,3.4.0
XLConnectJars,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2-13,NA,3.4.0
xml2,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.1,NA,3.4.0
xts,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.10-0,NA,3.4.1
